id,title,description,url,createDate,modifyDate,completed,numParts,deleted,length,categoryId,categoryName,languageId,languageName,mature,rating,tags,commentCount,readCount,voteCount,userAvatar,userFullname,userName
136849110,He's here~,A high school girl (jae eun) meets a guy in highschool who has secrets Jae eun has secrets herself,https://www.wattpad.com/story/136849110-he%27s-here%7E,2018-01-29T00:56:58Z,2018-03-13T23:53:13Z,False,8,False,12751,4,Romance,1,English,False,0,"['jimin', 'jungkook', 'romance', 'suga', 'tae-hyung']",0,26,0,https://a.wattpad.com/useravatar/user65061846.128.416011.jpg, ,user65061846
138828513,Cold Coffee || BTS Jin FF,"In which Jin accidentally spills coffee on a girl he shouldn't have.

Credits to @roselin_123 for the book cover :)))",https://www.wattpad.com/story/138828513-cold-coffee-bts-jin-ff,2018-02-16T00:30:57Z,2018-03-13T23:36:23Z,False,8,False,48224,6,Fanfiction,1,English,False,0,"['bts', 'btsboys', 'btsfanfic', 'coffee', 'fanfiction', 'jin']",5,59,12,https://a.wattpad.com/useravatar/MysteriousPATDFan.128.98095.jpg,Kabuto’s Wife 😂❤️,MysteriousPATDFan
131038456,My art book!,"Updated when I'm bored and don't feel like updating any of my other books
Oh, and I do take requests",https://www.wattpad.com/story/131038456-my-art-book,2017-12-07T03:52:31Z,2018-03-13T23:29:49Z,False,175,False,17197,19,Random,1,English,False,1,['art'],1693,2661,226,https://a.wattpad.com/useravatar/InkSierra.128.354437.jpg,"Ari, Ink Sierra,Error Sierra and Tracy!",InkSierra
141268387,it be like that sometimes😪😪,We are 2 besties 😖 who write kellic one shots 😋😋  ⚠️SMUT WARNING ⚠️ it might get kinky 👅💦💦💯,https://www.wattpad.com/story/141268387-it-be-like-that-sometimes%F0%9F%98%AA%F0%9F%98%AA,2018-03-09T00:42:20Z,2018-03-13T23:29:54Z,False,12,False,11071,17,Short Story,1,English,False,0,"['andybiersack', 'crackfics', 'hejustwantedsomelove', 'kellic', 'kellinquinn', 'piercetheveil', 'punched', 'sleepingwithsirens', 'vicfuentes']",51,509,58,https://a.wattpad.com/useravatar/biersacc.128.543028.jpg,biersacc,biersacc
141518092,Dolan twins Shit,I will be telling u Dolan twins Shit every week stay  tuned !✌,https://www.wattpad.com/story/141518092-dolan-twins-shit,2018-03-11T08:53:53Z,2018-03-13T23:29:47Z,False,2,False,112,7,Humor,1,English,False,1,"['dolan', 'dolantwins', 'ethandolan', 'grayson', 'graysondolan', 'twins']",0,2,0,https://a.wattpad.com/useravatar/damndolan18.128.728783.jpg,Parisdolan❤️🥀,damndolan18
141485119,Fairy tail next gen rp,Points to title*,https://www.wattpad.com/story/141485119-fairy-tail-next-gen-rp,2018-03-11T02:01:33Z,2018-03-13T23:30:27Z,False,16,False,9789,19,Random,1,English,False,0,"['characterxoc', 'fairytail', 'nextgeneration', 'ocxoc', 'roleplay']",38,100,1,https://a.wattpad.com/useravatar/midnightlove_103.128.758586.jpg,Forgotten angel,midnightlove_103
138449404,Persepolis La Ciudad de la magia,"Persepolis es una ciudad habitada por magos y brujas, esta ciudad se encuentra en el desierto de sonora en México en un paraíso creado por sus fundadores obviamente con magia, su ciudad que se llama Persepolis como el titulo lo indica se encuentra justo en medio  de este hermoso y gran lugar,esta ciudad son pocas de las ciudades en el mundo que esta limpia de la influencia de los muggles por lo tanto los aparatos electrónicos no funcionan ahí , aunque existen varias familias viviendo ahi la gran mayoria vive fuera en el resto de los estados  para eso hay un tren que recoge a los estudiantes en ciertos puntos de los estados para llevarlos a Menfis la escuela que se ubica en la cima de las montañas nevadas por lo tanto siempre hay frio y algunos estudiates bajan al bosque o a la ciudad para huir del clima.

como lo podrán haber intuido este es un fan fic de Harry Potter pero un poco diferente, esta historia girara en torno de Ricardo y otros estudiantes el cual enfrentaran a un enemigo muy oscuro quizas hasta sobre el poderoso Voldemort",https://www.wattpad.com/story/138449404-persepolis-la-ciudad-de-la-magia,2018-02-12T03:49:34Z,2018-03-13T23:44:14Z,False,4,False,10564,6,Fanfiction,1,English,False,1,['persepolis'],0,24,3,https://a.wattpad.com/useravatar/RicardoLopez94.128.839376.jpg,AR/Lopez,RicardoLopez94
131212659,IT Cast Prefrences ,"I am inspired by many people to create this story. I have been  recently ""obsessed with the it cast"". I am not the best at descriptions but I will try to update as recently as I can. It is almost break so I should.",https://www.wattpad.com/story/131212659-it-cast-prefrences,2017-12-08T23:16:51Z,2018-03-13T23:30:10Z,False,84,False,65422,6,Fanfiction,1,English,False,1,"['finn', 'grazer', 'itcast', 'jack', 'wolfhard']",46,8191,182,https://a.wattpad.com/useravatar/ElauraPatrick.128.228596.jpg,Makayla,ElauraPatrick
141419652,Where It All Began ,"The was a prince who lived and ruled the Underworld, named night, he was actually the prince of darkness but is actually good, ...Until that night...





If you want to find out then read this book 




And here's some guidelines for this story (The story is maybe confusing)


' - in someone's POV speaking 
'- dad speaking 
""-  friends speaking 
‛‛ - brother speaking
"""" - Prince/King speaking 
"" - the Prince/King's Sidekick speaking 
* - both at the same time speaking 


Now for some acronyms (Read the story to find out why) 


COTG - Chamber of the Gods 
HOF - Hall of Fame


Accessories (Just please read the story to know why)



Good Accessories 


DemiRing - Demigod power 
Bracelet and Ring - Immortality power 
Necklace - Sun/light power 
Anklet - Angel power
Hairclip - Water power
Staff - Create power 



Evil Accessories 


DarkRing - Dark power 
Scythe - Death power 
Eyepatch - Ghosts power 
Black Gloves - Destruction power
Hairpin - Fire power
Contact Lenses - Demon power




(PS : maybe long updates)",https://www.wattpad.com/story/141419652-where-it-all-began,2018-03-10T13:20:47Z,2018-03-13T23:32:02Z,False,2,False,4871,6,Fanfiction,1,English,False,0,"['dreamtale', 'fanfiction', 'undertale']",0,3,2,https://a.wattpad.com/useravatar/MoonlightLovefox.128.563525.jpg,xXMoonlight_ShadowXx,MoonlightLovefox
141191909,Gaku and Yutaka's Story,"Since Team Fresh Gaim Baron won the dance competition finals, Gaku and Yutaka talking about Gohan and their past. They have their secret themselves, but since Gohan and his friends gone to the dance national finals, Gaku and Yutaka were.... secretly going, but what is their secret?",https://www.wattpad.com/story/141191909-gaku-and-yutaka%27s-story,2018-03-08T04:23:00Z,2018-03-13T23:30:10Z,False,8,False,7028,6,Fanfiction,1,English,False,0,"['friendship', 'gakusano', 'gohannohara', 'love', 'narutouzumaki', 'sakuraharuno', 'yutakakobayshi']",0,28,0,https://a.wattpad.com/useravatar/JaydaWhite362.128.552335.jpg,Jayda White,JaydaWhite362
113507612,Regrets,"When Rachel's best friend dies in a car accident and leaves her bucket list behind, Rachel gets set on keeping her promise and completing her best friends buckets list. With Calvin the notorious ""bad boy"" by her side there's nothing that can stop her right? 

°°°°°°°°°°°°°°°°°°°°°° 
     I hope you read my book!! (sorry for the sucky summary, I suck at writing those)",https://www.wattpad.com/story/113507612-regrets,2017-06-22T04:08:25Z,2018-03-13T23:38:42Z,False,8,False,33650,1,Teen Fiction,1,English,False,0,"['before', 'beforeyoudie', 'bff', 'bucketlist', 'calvin', 'cliche', 'cute', 'discoveringyourself', 'dreams', 'friend', 'fun', 'guy', 'list', 'love', 'melissa', 'rachel', 'romance', 'spark']",13,147,31,https://a.wattpad.com/useravatar/ilovesweetcoldthings.128.680114.jpg,hotpink,ilovesweetcoldthings
141002835,My Empress Will Be Mine,"Samantha Nightless plays extremely well at basketball as the six phantom girl and extremely talent in music and has already taken over her family company, but she stopped playing basketball and play music instruments when she entered Teiiko Junior High before se went  to Rakuzan High and met a certain redhead captain of basketball that got his eye on her and plan to make her his.",https://www.wattpad.com/story/141002835-my-empress-will-be-mine,2018-03-06T03:34:47Z,2018-03-13T23:29:37Z,False,11,False,137387,6,Fanfiction,1,English,False,1,['anime'],1,61,0,https://a.wattpad.com/useravatar/anime-fan-girl-19.128.911733.jpg,Otaku-Girl,anime-fan-girl-19
133636810,Sex Academy ,Get ready to get sweaty 😏,https://www.wattpad.com/story/133636810-sex-academy,2017-12-30T23:33:45Z,2018-03-13T23:29:38Z,False,8,False,60757,4,Romance,1,English,False,0,"['dirty', 'gxb', 'gxg', 'hot', 'sexacademy', 'sexscenes', 'smutwarning', 'wet']",31,19505,102,https://a.wattpad.com/useravatar/cuzwhythehellnot.128.658383.jpg,cuzwhythehellnot,cuzwhythehellnot
141588590,maggie the magnet ✧,"just a finn wolfhard addict 
↳ BIO BOOK",https://www.wattpad.com/story/141588590-maggie-the-magnet-%E2%9C%A7,2018-03-11T23:08:24Z,2018-03-13T23:30:22Z,False,27,False,2503,2,Poetry,1,English,False,1,['oofsie'],195,416,121,https://a.wattpad.com/useravatar/finnswheeler.128.889935.jpg,MAGGISON THE CAPRISUN,finnswheeler
137400523,Reality ,"Book 2 for One Bullet Left-

When Paula wakes up, she realizes that everything was just a dream. I guess thats what happens when you work on Supernatural. When the show needs a new makeup artist, Monika comes into the picture. Will she fall for Jared like she fell for Sam? And will paula and Jensen have more than just nightly hook ups? Read to find out.(WARNING I HAVE NOTHING AGAINST DANEEL OR GEN I LOVE THEM BOTH)",https://www.wattpad.com/story/137400523-reality,2018-02-03T13:55:01Z,2018-03-13T23:29:36Z,False,20,False,176630,6,Fanfiction,1,English,False,0,"['fanfiction', 'jaredpadalecki', 'jensenackles', 'mishacollins', 'supernatural']",0,115,19,https://a.wattpad.com/useravatar/BookLoverCoco.128.680581.jpg,Coco,BookLoverCoco
137330972,Awkward relationship,"""Yeah right"" I tell my best friend Jenifer ""There's no way Min Yoongi like me I mean I'm a nobody who's friends with Kpop stars"". Why would he wanna date me of all people ""He does tho just trust me and talk to him?"" Jenifer begs ""Fine whatever"" I mumble",https://www.wattpad.com/story/137330972-awkward-relationship,2018-02-02T22:17:18Z,2018-03-13T23:29:39Z,False,14,False,25274,6,Fanfiction,1,English,False,0,"['agustd', 'bts', 'btsarmy', 'btsdream', 'btsfanfic', 'btssuga', 'suga', 'yoongi']",0,18,0,https://a.wattpad.com/useravatar/JiminTheAngel.128.631398.jpg,Bts__blackpiink,JiminTheAngel
141324782,Daughter of Captain Hook,Will Alice find her dad and will she get out of the cell she is stuck in.Will Alice and her dad find a cure for Alice's poisionions heart.,https://www.wattpad.com/story/141324782-daughter-of-captain-hook,2018-03-09T15:43:31Z,2018-03-13T23:29:58Z,False,10,False,12900,3,Fantasy,1,English,False,1,"['heart-warming', 'loving']",0,10,0,https://a.wattpad.com/useravatar/Amazing_kk5.128.483126.jpg,,Amazing_kk5
141242894,Loving A Killer||×G.D,"""Grayson stop right now!"" Ruby screamed. ""This is what happens when you love a killer!"" He screamed back",https://www.wattpad.com/story/141242894-loving-a-killer-%C3%97g-d,2018-03-08T18:42:24Z,2018-03-13T23:29:28Z,False,3,False,3723,6,Fanfiction,1,English,False,0,"['dolantwins', 'fanfic', 'gd']",0,1,1,https://a.wattpad.com/useravatar/-heartlesslover.128.983239.jpg,Bryanna♡,-heartlesslover
141319043,Johnny has a sister!!!!,"Johnny has a little sister she is 14 years old but what happens when she forgets the leave her house when her mom and dad get home???

I did not make the outsiders i only take the credit for my character!!!!!!",https://www.wattpad.com/story/141319043-johnny-has-a-sister,2018-03-09T14:29:20Z,2018-03-13T23:29:31Z,False,5,False,10481,6,Fanfiction,1,English,False,1,"['johnny', 'ponyboy', 'sister', 'theoutsiders']",0,11,0,https://a.wattpad.com/useravatar/philslittleunicorn.128.782346.jpg,Taleen Carter,philslittleunicorn
122224399,FOOLS ; NAMJIN,"""BUT EVERYTHING IS SHATTERING,"" •

he had grace and beauty whereas i drooped •

""AND IT'S MY MISTAKE."" •",https://www.wattpad.com/story/122224399-fools-namjin,2017-09-09T10:42:55Z,2018-03-13T23:29:29Z,False,14,False,46715,6,Fanfiction,1,English,False,1,"['ballet', 'bangtansonyeondan', 'bl', 'boylove', 'boyxboy', 'bts', 'friendship', 'gay', 'jin', 'jinistalentedasftoo', 'kpop', 'love', 'namjin', 'namjoon', 'romance', 'teen']",156,272,60,https://a.wattpad.com/useravatar/cynful-.128.7135.jpg,♔,cynful-
141780766,The Witch and The Bad-boy Wizard,"What if only witches and wizards only roamed the supernatural world? What if during the Salem witch trials every creature we may know of like werewolves, zombies, and vampires went extinct? What if one werewolf ended up at a party- how would you react? And what if there was one cute wizard?",https://www.wattpad.com/story/141780766-the-witch-and-the-bad-boy-wizard,2018-03-13T22:56:36Z,2018-03-13T23:29:21Z,False,1,False,6106,6,Fanfiction,1,English,False,1,['teenfiction'],0,1,0,https://a.wattpad.com/useravatar/Zombie12345Walker.128.694073.jpg,Zombies Aliens Werewolves Based 99,Zombie12345Walker
141603391,―naughty. ❪choi euncheol.❫,▰you can choke on your misery.,https://www.wattpad.com/story/141603391-%E2%80%95naughty-%E2%9D%AAchoi-euncheol-%E2%9D%AB,2018-03-12T02:28:36Z,2018-03-13T23:29:23Z,False,2,False,702,6,Fanfiction,1,English,False,0,['choieuncheol'],0,9,3,https://a.wattpad.com/useravatar/maxximen.128.816185.jpg,maxxam,maxximen
141324782,Daughter of Captain Hook,Will Alice find her dad and will she get out of the cell she is stuck in.Will Alice and her dad find a cure for Alice's poisionions heart.,https://www.wattpad.com/story/141324782-daughter-of-captain-hook,2018-03-09T15:43:31Z,2018-03-13T23:29:58Z,False,10,False,12900,3,Fantasy,1,English,False,1,"['heart-warming', 'loving']",0,10,0,https://a.wattpad.com/useravatar/Amazing_kk5.128.483126.jpg,,Amazing_kk5
141242894,Loving A Killer||×G.D,"""Grayson stop right now!"" Ruby screamed. ""This is what happens when you love a killer!"" He screamed back",https://www.wattpad.com/story/141242894-loving-a-killer-%C3%97g-d,2018-03-08T18:42:24Z,2018-03-13T23:29:28Z,False,3,False,3723,6,Fanfiction,1,English,False,0,"['dolantwins', 'fanfic', 'gd']",0,1,1,https://a.wattpad.com/useravatar/-heartlesslover.128.983239.jpg,Bryanna♡,-heartlesslover
141319043,Johnny has a sister!!!!,"Johnny has a little sister she is 14 years old but what happens when she forgets the leave her house when her mom and dad get home???

I did not make the outsiders i only take the credit for my character!!!!!!",https://www.wattpad.com/story/141319043-johnny-has-a-sister,2018-03-09T14:29:20Z,2018-03-13T23:29:31Z,False,5,False,10481,6,Fanfiction,1,English,False,1,"['johnny', 'ponyboy', 'sister', 'theoutsiders']",0,11,0,https://a.wattpad.com/useravatar/philslittleunicorn.128.782346.jpg,Taleen Carter,philslittleunicorn
122224399,FOOLS ; NAMJIN,"""BUT EVERYTHING IS SHATTERING,"" •

he had grace and beauty whereas i drooped •

""AND IT'S MY MISTAKE."" •",https://www.wattpad.com/story/122224399-fools-namjin,2017-09-09T10:42:55Z,2018-03-13T23:29:29Z,False,14,False,46715,6,Fanfiction,1,English,False,1,"['ballet', 'bangtansonyeondan', 'bl', 'boylove', 'boyxboy', 'bts', 'friendship', 'gay', 'jin', 'jinistalentedasftoo', 'kpop', 'love', 'namjin', 'namjoon', 'romance', 'teen']",156,272,60,https://a.wattpad.com/useravatar/cynful-.128.7135.jpg,♔,cynful-
141780766,The Witch and The Bad-boy Wizard,"What if only witches and wizards only roamed the supernatural world? What if during the Salem witch trials every creature we may know of like werewolves, zombies, and vampires went extinct? What if one werewolf ended up at a party- how would you react? And what if there was one cute wizard?",https://www.wattpad.com/story/141780766-the-witch-and-the-bad-boy-wizard,2018-03-13T22:56:36Z,2018-03-13T23:29:21Z,False,1,False,6106,6,Fanfiction,1,English,False,1,['teenfiction'],0,1,0,https://a.wattpad.com/useravatar/Zombie12345Walker.128.694073.jpg,Zombies Aliens Werewolves Based 99,Zombie12345Walker
